timestamp,cnt
1619395200,215442.90727
1619395500,121121.30304
1619395800,129574.04514
1619396100,158770.48108
1619396400,193195.257
1619396700,259939.49976
1619397000,276357.62615
1619397300,167531.02323
1619397600,219728.19297
1619397900,217938.8057
1619398200,159661.42621
1619398500,200758.03265
1619398800,227527.73865
1619399100,144459.31949
1619399400,182516.60942
1619399700,177513.92843
1619400000,241000.53297
1619400300,223431.79862
1619400600,235206.16637
1619400900,233700.72093
1619401200,268983.32876
1619401500,215730.94714
1619401800,179579.30642
1619402100,149846.98951
1619402400,129341.74832
1619402700,121930.47681
1619403000,105291.87854
1619403300,104418.01381
1619403600,133237.40658
1619403900,121914.58846
1619404200,146389.00886
1619404500,130082.26042
1619404800,124552.25849
1619405100,116193.64817
1619405400,93654.812015
1619405700,100878.27303
1619406000,124157.68559
1619406300,123500.70875
1619406600,142712.66952
1619406900,164428.19342
1619407200,209454.36222
1619407500,200743.95172
1619407800,178987.04292
1619408100,166839.49781
1619408400,183768.3873
1619408700,144090.42307
1619409000,129169.08177
1619409300,117636.89994
1619409600,114742.16553
1619409900,117079.15949
1619410200,104341.22185
1619410500,111482.40181
1619410800,128227.25943
1619411100,111970.89867
1619411400,111336.21923
1619411700,125251.45611
1619412000,100440.83023
1619412300,107933.97522
1619412600,99802.124472
1619412900,107036.71677
1619413200,108267.01165
1619413500,128964.98251
1619413800,121992.16825
1619414100,148897.13456
1619414400,125972.99028
1619414700,139257.47325
1619415000,147566.93095
1619415300,147717.92263
1619415600,165165.36
1619415900,187915.33701
1619416200,175983.13159
1619416500,206696.91347
1619416800,204458.92195
1619417100,219304.73137
1619417400,209817.32198
1619417700,224262.61935
1619418000,205901.14286
1619418300,200218.50072
1619418600,249408.49738
1619418900,239793.63993
1619419200,232391.75083
1619419500,236392.57257
1619419800,241420.99197
1619420100,235193.68442
1619420400,231395.56943
1619420700,214432.13293
1619421000,206074.53043
1619421300,219916.77786
1619421600,231516.22406
1619421900,183816.2565
1619422200,180367.65578
1619422500,246645.0395
1619422800,201434.38462
1619423100,191731.45736
1619423400,192690.77672
1619423700,188251.78694
1619424000,185319.13521
1619424300,195482.4423
1619424600,159446.89226
1619424900,180309.21553
1619425200,174223.11706
1619425500,186525.49362
1619425800,179144.08868
1619426100,176973.53465
1619426400,164037.65092
1619426700,186857.41984
1619427000,179527.74171
1619427300,191562.67387
1619427600,187345.13392
1619427900,193193.76845
1619428200,145943.54538
1619428500,168767.30981
1619428800,178389.40448
1619429100,165212.32035
1619429400,174069.5978
1619429700,156848.37584
1619430000,162064.80276
1619430300,153254.40905
1619430600,142945.24178
1619430900,170217.82487
1619431200,171975.45942
1619431500,161908.50402
1619431800,121736.36278
1619432100,153474.77439
1619432400,147649.54441
1619432700,159395.13453
1619433000,158503.54371
1619433300,158524.65162
1619433600,172594.31324
1619433900,166532.53364
1619434200,160541.1766
1619434500,161419.19763
1619434800,167080.49563
1619435100,143159.94725
1619435400,161195.70864
1619435700,161029.97578
1619436000,161532.08856
1619436300,163604.42865
1619436600,190211.44581
1619436900,191012.33696
1619437200,166836.43872
1619437500,173856.37257
1619437800,179974.73999
1619438100,204520.97544
1619438400,170022.98611
1619438700,197656.01012
1619439000,150355.3266
1619439300,170319.8858
1619439600,183364.48886
1619439900,186107.20181
1619440200,190889.70781
1619440500,177747.86057
1619440800,195220.93053
1619441100,187536.37152
1619441400,195747.93095
1619441700,210692.2702
1619442000,204628.25662
1619442300,178141.72015
1619442600,191077.34407
1619442900,202507.73273
1619443200,241263.90273
1619443500,210055.10606
1619443800,219559.04033
1619444100,250090.79199
1619444400,242015.25521
1619444700,274931.55716
1619445000,252649.78634
1619445300,252013.65169
1619445600,253411.22322
1619445900,203831.61014
1619446200,225578.94783
1619446500,336946.39838
1619446800,302542.40943
1619447100,319785.47922
1619447400,294836.24729
1619447700,271233.42685
1619448000,275761.24886
1619448300,338098.09946
1619448600,259240.25303
1619448900,311240.61405
1619449200,266730.659
1619449500,227964.28041
1619449800,184474.01783
1619450100,214161.34173
1619450400,238703.59445
1619450700,295481.47979
1619451000,271426.1067
1619451300,246715.61118
1619451600,240018.20665
1619451900,281434.5504
1619452200,251570.18865
1619452500,292772.3854
1619452800,218899.72298
1619453100,199390.80786
1619453400,171752.95656
1619453700,246965.90599
1619454000,250165.07283
1619454300,290218.42161
1619454600,257383.31235
1619454900,339957.96896
1619455200,366377.88188
1619455500,379751.42314
1619455800,337731.0045
1619456100,467930.86787
1619456400,547552.7866
1619456700,433593.23245
1619457000,431234.22458
1619457300,371700.09883
1619457600,269754.24928
1619457900,229699.33078
1619458200,245250.12594
1619458500,260540.36794
1619458800,235979.58534
1619459100,293221.11456
1619459400,213477.06477
1619459700,288558.12541
1619460000,251823.69981
1619460300,163169.32015
1619460600,154582.85833
1619460900,241822.68253
1619461200,277159.2359
1619461500,282833.69631
1619461800,243567.67734
1619462100,182910.96681
1619462400,227611.11999
1619462700,256730.51949
1619463000,217425.44007
1619463300,214680.45057
1619463600,198034.36808
1619463900,116091.7107
1619464200,177432.49021
1619464500,213357.56257
1619464800,225857.8099
1619465100,225641.48151250003
1619465400,225425.153125
1619465700,225208.8247375
1619466000,257305.8777
1619466300,234786.64405
